Date,Open,High,Low,Close,Adj Close,Volume
2017-03-27,1.897000,1.918000,1.885000,1.912000,1.912000,0
2017-03-28,1.908000,1.964000,1.900000,1.955000,1.955000,0
2017-03-29,1.954000,1.954000,1.928000,1.936000,1.936000,0
2017-03-30,1.933000,1.964000,1.929000,1.961000,1.961000,0
2017-03-31,1.954000,1.967000,1.928000,1.929000,1.929000,0
2017-04-03,1.906000,1.916000,1.865000,1.877000,1.877000,0
2017-04-04,1.854000,1.888000,1.850000,1.878000,1.878000,0
2017-04-05,1.900000,1.906000,1.868000,1.870000,1.870000,0
2017-04-06,1.862000,1.883000,1.844000,1.863000,1.863000,0
2017-04-07,1.834000,1.911000,1.784000,1.911000,1.911000,0
2017-04-10,1.926000,1.926000,1.882000,1.900000,1.900000,0
2017-04-11,1.873000,1.875000,1.822000,1.832000,1.832000,0
2017-04-12,1.825000,1.839000,1.809000,1.830000,1.830000,0
2017-04-13,1.767000,1.802000,1.749000,1.764000,1.764000,0
2017-04-17,1.744000,1.777000,1.741000,1.777000,1.777000,0
2017-04-18,1.746000,1.751000,1.706000,1.710000,1.710000,0
2017-04-19,1.739000,1.754000,1.728000,1.729000,1.729000,0
2017-04-20,1.762000,1.784000,1.751000,1.772000,1.772000,0
2017-04-21,1.767000,1.767000,1.737000,1.760000,1.760000,0
2017-04-24,1.848000,1.848000,1.798000,1.802000,1.802000,0
2017-04-25,1.835000,1.858000,1.827000,1.850000,1.850000,0
2017-04-26,1.865000,1.875000,1.830000,1.835000,1.835000,0
2017-04-27,1.839000,1.847000,1.808000,1.819000,1.819000,0
2017-04-28,1.837000,1.864000,1.816000,1.816000,1.816000,0
2017-05-01,1.826000,1.860000,1.814000,1.847000,1.847000,0
2017-05-02,1.859000,1.859000,1.809000,1.813000,1.813000,0
2017-05-03,1.804000,1.855000,1.804000,1.845000,1.845000,0
2017-05-04,1.877000,1.900000,1.873000,1.883000,1.883000,0
2017-05-05,1.896000,1.928000,1.872000,1.883000,1.883000,0
2017-05-08,1.867000,1.916000,1.867000,1.900000,1.900000,0
2017-05-09,1.913000,1.943000,1.913000,1.935000,1.935000,0
2017-05-10,1.906000,1.941000,1.897000,1.938000,1.938000,0
2017-05-11,1.925000,1.951000,1.918000,1.928000,1.928000,0
2017-05-12,1.903000,1.905000,1.844000,1.853000,1.853000,0
2017-05-15,1.858000,1.868000,1.848000,1.858000,1.858000,0
2017-05-16,1.872000,1.877000,1.830000,1.850000,1.850000,0
2017-05-17,1.809000,1.809000,1.744000,1.748000,1.748000,0
2017-05-18,1.729000,1.782000,1.724000,1.774000,1.774000,0
2017-05-19,1.790000,1.802000,1.774000,1.787000,1.787000,0
2017-05-22,1.799000,1.799000,1.780000,1.797000,1.797000,0
2017-05-23,1.789000,1.835000,1.777000,1.832000,1.832000,0
2017-05-24,1.825000,1.843000,1.790000,1.803000,1.803000,0
2017-05-25,1.783000,1.801000,1.780000,1.791000,1.791000,0
2017-05-26,1.770000,1.794000,1.768000,1.791000,1.791000,0
2017-05-30,1.781000,1.791000,1.757000,1.760000,1.760000,0
2017-05-31,1.765000,1.768000,1.747000,1.748000,1.748000,0
2017-06-01,1.778000,1.788000,1.762000,1.765000,1.765000,0
2017-06-02,1.758000,1.758000,1.702000,1.719000,1.719000,0
2017-06-05,1.730000,1.747000,1.727000,1.742000,1.742000,0
2017-06-06,1.704000,1.720000,1.696000,1.712000,1.712000,0
2017-06-07,1.720000,1.745000,1.712000,1.742000,1.742000,0
2017-06-08,1.766000,1.778000,1.743000,1.755000,1.755000,0
